Time;SP_500;Gold;Vix;RF;P1_risk;P1_Currency
11.09.02 00:00;909.84;317.65;34.265;1.71;98.24968175;1.871864485
12.09.02 00:00;887.39;319.05;36.92;1.7;95.66721808;1.879181271
13.09.02 00:00;890.12;316.85;37.17;1.68;94.34675553;1.868368261
16.09.02 00:00;891.46;317.45;37.595;1.69;95.04100968;1.860796261
17.09.02 00:00;873.86;318.35;36.925;1.7;94.5714868;1.864695171
18.09.02 00:00;870.01;320.35;38.335;1.7;97.97990459;1.871885699
19.09.02 00:00;843.72;323.35;39.81;1.64;97.34164316;1.884599166
20.09.02 00:00;845.81;322.15;39.475;1.64;98.94502014;1.876915031
23.09.02 00:00;833.61;323.25;40.22;1.65;103.2144386;1.869444588
24.09.02 00:00;819.2;326.15;40.455;1.68;102.8043077;1.874987134
25.09.02 00:00;839.44;322.25;38.355;1.67;105.1195959;1.872474707
26.09.02 00:00;854.85;320.05;35.375;1.66;103.1034066;1.87218123
27.09.02 00:00;827.16;319.95;35.465;1.63;103.8118412;1.875040511
30.09.02 00:00;814.98;323.55;40.375;1.6;101.9146379;1.881787018
01.10.02 00:00;847.87;320.35;35.69;1.63;102.5474487;1.879910634
02.10.02 00:00;827.79;323.05;35.695;1.61;102.5348062;1.883210351
03.10.02 00:00;818.72;321.65;36.93;1.58;102.6396209;1.886816314
04.10.02 00:00;800.45;322.25;39.48;1.6;107.7507262;1.878136615
07.10.02 00:00;785.27;322.45;41.995;1.61;116.0173317;1.883938769
08.10.02 00:00;798.42;318.25;41.7;1.62;117.5206743;1.873767198
09.10.02 00:00;776.61;320.05;41.895;1.6;120.8990383;1.887414187
10.10.02 00:00;803.91;316.85;38.465;1.59;125.3047078;1.884157287
11.10.02 00:00;835.33;316.75;35.865;1.59;124.069216;1.886621282
15.10.02 00:00;881.13;313.55;34.25;1.66;107.4040452;1.876753254
16.10.02 00:00;859.95;314.55;35.59;1.66;111.925596;1.878126875
17.10.02 00:00;879.08;311.45;34.53;1.66;110.5784376;1.872262454
18.10.02 00:00;884.14;312.85;34.035;1.66;105.8107354;1.870516788
21.10.02 00:00;899.55;311.15;34.275;1.69;103.3729881;1.875309871
22.10.02 00:00;890.01;313.05;34.185;1.71;97.71172144;1.878364121
23.10.02 00:00;895.96;311.95;34.405;1.68;97.50753923;1.878115813
24.10.02 00:00;882.34;311.65;33.48;1.64;95.42224277;1.883193427
25.10.02 00:00;897.43;313.85;31.625;1.63;94.71114098;1.881083017
28.10.02 00:00;890.2;315.65;30.99;1.59;93.17070944;1.89418969
29.10.02 00:00;882.17;316.85;32.53;1.58;88.0291264;1.889888114
30.10.02 00:00;890.51;316.05;31.645;1.56;88.02636757;1.887498283
31.10.02 00:00;885.43;317.75;30.63;1.48;85.60997529;1.898107755
01.11.02 00:00;900.97;319.75;30.16;1.44;85.06827529;1.907451808
04.11.02 00:00;908.04;318.55;29.865;1.44;78.41777263;1.909987775
05.11.02 00:00;915.24;317.75;31.075;1.44;75.83535984;1.91163594
06.11.02 00:00;923.52;318.15;31.655;1.24;73.44689014;1.918400539
07.11.02 00:00;902.39;321.05;31.305;1.2;77.12277007;1.928767809
08.11.02 00:00;894.46;321.55;30.065;1.19;79.49426737;1.93126673
12.11.02 00:00;882.82;324.45;30.475;1.2;82.2056152;1.926014382
13.11.02 00:00;882.45;319.15;31.2;1.22;82.38162896;1.921812382
14.11.02 00:00;904.11;318.25;29.205;1.22;81.85019452;1.919137132
15.11.02 00:00;909.65;320.55;27.335;1.23;80.27807405;1.922405199
18.11.02 00:00;900.32;319.25;27.195;1.24;74.92157561;1.919849439
19.11.02 00:00;896.79;318.95;27.39;1.23;72.13502803;1.913080962
