Time,SP_500,SP_500_Volume,SP_500_Volume_Call,SP_500_Volume_Put,SP_500_Ratio_Put_Call,Gold,Vix,US_Libor_OIS,CDS_JPM,CDS_CITI,CDS_BOFA,SP_500_Index_Turnover,SP_1_Index,P1_risk
05.01.10 00:00,1136.37,982261056,268490,485801,1.8094,1118.05,19.35,9.75,47.992,163.14,101.186,28.26,1131.8,187.3505504
06.01.10 00:00,1137.05,927104192,284651,368220,1.2936,1138.25,19.16,10.4,47.505,164.154,102.066,28.48,1132.9,188.5088611
07.01.10 00:00,1141.59,1069001344,197232,297916,1.5105,1131.75,19.06,10.44,47.868,167.986,103.766,30.81,1137.4,192.2085
08.01.10 00:00,1144.92,871873600,315639,390412,1.2369,1138.225,18.13,10.83,47.73,169.005,105.572,26.96,1131.5,194.1555047
11.01.10 00:00,1146.95,812147072,262788,432696,1.6466,1151.85,17.55,10.83,46.794,165.539,101.174,26.39,1139.6,188.4995356
12.01.10 00:00,1136.22,966832832,329497,518305,1.573,1128.475,18.25,10.98,46.656,168.647,101.263,29.97,1134,190.4192286
13.01.10 00:00,1145.7,854998016,344370,587189,1.7051,1138.175,17.85,10.43,46.726,168.378,100.531,27.42,1141.4,189.7210159
14.01.10 00:00,1148.38,837162752,384113,491672,1.28,1142.75,17.63,10.83,47.128,172.507,103.187,25.49,1146.4,194.3320402
15.01.10 00:00,1136.02,1377474432,222239,435224,1.9584,1130.925,17.91,11.33,49.151,178.912,111.19,42.98,1137.4,204.7632796
19.01.10 00:00,1150.18,913992320,348942,434799,1.246,1138.35,17.58,10.75,51.466,184.756,115.259,27.45,1144.2,211.9582369
20.01.10 00:00,1137.97,951016128,241497,543565,2.2508,1111.3,18.68,10.79,51.845,184.155,113.552,29.39,1132,210.3997422
21.01.10 00:00,1116.29,1383449216,264988,500775,1.8898,1094.05,22.27,10.59,61.291,193.289,117.787,39.87,1110.1,221.4937429
22.01.10 00:00,1091.64,1374488960,366549,692270,1.8886,1093.225,27.31,10.41,70.725,199.533,124.111,41.23,1106.4,232.4064621
25.01.10 00:00,1096.85,968369536,184616,451557,2.4459,1098.4,25.41,10.18,74.682,208.046,126.418,29.55,1093.7,240.3013121
26.01.10 00:00,1092.18,1075171456,297203,386683,1.3011,1097.65,24.55,10.48,73.45,204.816,120.672,33.32,1087.4,233.6977431
27.01.10 00:00,1097.42,1211570304,251550,392697,1.5611,1087.95,23.14,10.15,74.509,208.339,120.233,38.41,1094.2,235.7691629
28.01.10 00:00,1084.55,1139935872,221546,283772,1.2809,1086.95,23.73,9.88,77.551,215.091,122.721,35.26,1080.3,242.5035256
29.01.10 00:00,1073.76,1521404416,175637,363028,2.0669,1081.2,24.62,10.51,79.959,216.52,123.548,43.78,1080,244.5949605
01.02.10 00:00,1089.1,943805952,315225,337832,1.0717,1105.55,22.59,10.41,80.44,212.306,119.992,30.14,1083.1,239.4731906
02.02.10 00:00,1103.13,1068574656,241628,452630,1.8733,1114.45,21.48,10.13,72.722,203.237,113.153,32.12,1096.5,226.8842403
03.02.10 00:00,1097.23,987772352,162762,303569,1.8651,1109.8,21.6,9.61,69.091,202.293,109.283,30.38,1096.2,222.4864804
04.02.10 00:00,1063.03,1349741184,239405,481432,2.011,1063.525,26.08,9.88,77.218,216.628,122.365,40.45,1061.8,243.0850867
05.02.10 00:00,1066.24,1380442624,245246,575700,2.3474,1066.25,26.11,10.17,83.541,222.05,128.313,41.85,1057.6,252.4400736
08.02.10 00:00,1056.71,992858176,179471,325500,1.8137,1062.85,26.51,9.6,84.471,225.924,130.293,29.08,1054,256.5177308
09.02.10 00:00,1070.48,1077304320,264680,348561,1.3169,1078.1,26,9.8,88.739,231.481,136.822,31.92,1064.1,265.8811625
10.02.10 00:00,1068.05,911958080,208277,297457,1.4282,1072.1,25.4,10,87.287,239.692,142.164,26.05,1062.5,274.5353294
11.02.10 00:00,1078.49,945516480,210697,258521,1.227,1095.475,23.96,10,86.778,238.652,144.88,28.8,1076,275.8265129
12.02.10 00:00,1076.21,1184044928,266510,412573,1.5481,1097.1,22.73,9.6,86.805,237.473,146.432,37,1065.5,276.2885233
16.02.10 00:00,1094.81,959347904,413699,513296,1.2407,1119.4,22.25,10.3,84.775,234.531,148.528,29.86,1093.3,275.5782571
17.02.10 00:00,1099.56,901474688,512069,831798,1.6244,1106.85,21.72,9.81,82.434,225.933,144.352,27.15,1099.6,266.6240901
18.02.10 00:00,1106.57,837824704,609805,691814,1.1345,1109,20.63,8.68,77.393,215.436,138.817,26.19,1105.1,254.8189803
19.02.10 00:00,1108.96,1066718208,316671,391944,1.2377,1119.2,20.02,8.49,74.26,209.28,136.019,34.04,1099.9,248.1898767
22.02.10 00:00,1107.94,841575168,173875,419856,2.4147,1114.275,19.94,9.12,70.466,201.328,133.003,26.8,1106.3,240.1412413
23.02.10 00:00,1094.72,924531584,220004,462691,2.1031,1103.325,21.37,8.79,73.481,202.553,135.901,29.55,1094,243.8227211
24.02.10 00:00,1105.13,886744448,173281,232599,1.3423,1097.625,20.27,9.29,76.149,205.182,141.259,27.81,1102.6,250.1263624
25.02.10 00:00,1103.14,997268224,211822,345151,1.6294,1106.2,20.1,9.39,79.326,211.735,144.451,31.54,1101.7,257.3047471
26.02.10 00:00,1104.56,1047777472,231663,314488,1.3575,1117.59,19.5,9.17,79.219,211.238,145.141,32.3,1101.7,257.4970012
01.03.10 00:00,1115.56,848095168,260272,381057,1.4641,1118.85,19.26,9.57,75.063,206.422,141.664,27.13,1113.5,250.9142515
02.03.10 00:00,1118.13,952852672,298306,350221,1.174,1134.65,19.06,9.99,73.633,205.744,138.717,30.7,1115.3,247.922724
03.03.10 00:00,1118.68,848040192,259571,433768,1.6711,1139.95,18.83,9.49,74.893,204.034,138.814,25.86,1117.6,247.2716232
04.03.10 00:00,1122.87,833652736,362117,680871,1.8803,1132.1,18.72,7.47,76.829,207.044,140.378,26.02,1121.2,250.761438
