DATE,DTWEXB
2013-01-02,98.7856
2013-01-03,98.8924
2013-01-04,99.1954
2013-01-07,99.0722
2013-01-08,99.1377
2013-01-09,99.0835
2013-01-10,98.7200
2013-01-11,98.6093
2013-01-14,98.5578
2013-01-15,98.5797
2013-01-16,98.6440
2013-01-17,98.5814
2013-01-18,98.9002
2013-01-21,.
2013-01-22,98.8218
2013-01-23,98.8615
2013-01-24,98.9301
2013-01-25,99.1145
2013-01-28,99.2886
2013-01-29,98.9881
2013-01-30,98.9351
2013-01-31,98.8687
2013-02-01,98.7669
2013-02-04,99.0606
2013-02-05,98.9480
2013-02-06,99.0991
2013-02-07,99.3794
2013-02-08,99.3976
2013-02-11,99.6555
2013-02-12,99.4863
2013-02-13,99.4636
2013-02-14,99.5571
2013-02-15,99.6349
2013-02-18,.
2013-02-19,99.6870
2013-02-20,99.8222
2013-02-21,100.2081
2013-02-22,100.2743
2013-02-25,100.3324
2013-02-26,100.5584
2013-02-27,100.3628
2013-02-28,100.4131
2013-03-01,100.7301
2013-03-04,100.7583
2013-03-05,100.6120
2013-03-06,100.7070
2013-03-07,100.6614
2013-03-08,100.7356
2013-03-11,100.6509
2013-03-12,100.4931
2013-03-13,100.5840
2013-03-14,100.6048
2013-03-15,100.2752
2013-03-18,100.4916
2013-03-19,100.6725
2013-03-20,100.5574
2013-03-21,100.4885
2013-03-22,100.3669
2013-03-25,100.4583
2013-03-26,100.3824
2013-03-27,100.6037
2013-03-28,100.4203
2013-03-29,100.4578
2013-04-01,100.3270
2013-04-02,100.2912
2013-04-03,100.2575
2013-04-04,100.5686
2013-04-05,100.2893
2013-04-08,100.4141
2013-04-09,100.1445
2013-04-10,100.1273
2013-04-11,99.8746
2013-04-12,99.9695
2013-04-15,100.0940
2013-04-16,99.9736
2013-04-17,100.2621
2013-04-18,100.3073
2013-04-19,100.3442
2013-04-22,100.4946
2013-04-23,100.5199
2013-04-24,100.5859
2013-04-25,100.1702
2013-04-26,100.0294
2013-04-29,99.7738
2013-04-30,99.5103
2013-05-01,99.5764
2013-05-02,99.7497
2013-05-03,99.6402
2013-05-06,99.7686
2013-05-07,99.6275
2013-05-08,99.2755
2013-05-09,99.3870
2013-05-10,100.3559
2013-05-13,100.3866
2013-05-14,100.4709
2013-05-15,100.8791
2013-05-16,100.7842
2013-05-17,101.2550
2013-05-20,101.1235
2013-05-21,101.0364
2013-05-22,101.3631
2013-05-23,101.2916
2013-05-24,101.3530
2013-05-27,.
2013-05-28,101.6495
2013-05-29,101.6119
2013-05-30,101.5238
2013-05-31,101.7228
2013-06-03,101.2840
2013-06-04,101.4142
2013-06-05,101.3845
2013-06-06,100.9646
2013-06-07,100.7507
2013-06-10,101.1554
2013-06-11,100.9770
2013-06-12,100.6474
2013-06-13,100.5096
2013-06-14,100.3328
2013-06-17,100.4785
2013-06-18,100.7024
2013-06-19,100.6378
2013-06-20,102.3046
2013-06-21,102.5970
2013-06-24,102.7627
2013-06-25,102.5003
2013-06-26,102.5610
2013-06-27,102.3991
2013-06-28,102.4322
2013-07-01,102.2172
2013-07-02,102.5176
2013-07-03,102.6029
2013-07-04,.
2013-07-05,103.1698
2013-07-08,103.1057
2013-07-09,103.0393
2013-07-10,102.8554
2013-07-11,102.0536
2013-07-12,102.1095
2013-07-15,102.0766
2013-07-16,101.6195
2013-07-17,101.6429
2013-07-18,101.8013
2013-07-19,101.6006
2013-07-22,101.3574
2013-07-23,101.2972
2013-07-24,101.4594
2013-07-25,101.4391
2013-07-26,101.3208
2013-07-29,101.3230
2013-07-30,101.5471
2013-07-31,101.7203
2013-08-01,101.9450
2013-08-02,101.7218
2013-08-05,101.6359
2013-08-06,101.4542
2013-08-07,101.4059
2013-08-08,100.9868
2013-08-09,100.9856
2013-08-12,101.0670
2013-08-13,101.6313
2013-08-14,101.5458
2013-08-15,101.6664
2013-08-16,101.5870
2013-08-19,101.8500
2013-08-20,101.7420
2013-08-21,102.2240
2013-08-22,102.4534
2013-08-23,102.1154
2013-08-26,102.3515
2013-08-27,102.5796
2013-08-28,102.5907
2013-08-29,102.8014
2013-08-30,102.9146
2013-09-02,.
2013-09-03,103.1368
2013-09-04,102.7599
2013-09-05,103.0966
2013-09-06,102.4520
2013-09-09,102.2097
2013-09-10,102.1407
2013-09-11,101.9156
2013-09-12,101.7877
2013-09-13,101.8662
2013-09-16,101.4861
2013-09-17,101.4132
2013-09-18,101.4519
2013-09-19,100.5601
2013-09-20,100.7651
2013-09-23,100.7912
2013-09-24,100.9513
2013-09-25,100.9616
2013-09-26,101.1937
2013-09-27,101.1738
